"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","Test Delete Data","Tests","2025-12-04","failed","2025-12-04","Crud.Crud","Consul","",""
"","8","Test Create Key Under Path","Tests","2025-12-04","failed","2025-12-04","Crud.Crud","Consul","",""
"","12","Test Add Data","Tests","2025-12-04","failed","2025-12-04","Crud.Crud","Consul","",""
"","1037","Test Delete Data Under Path","Tests","2025-12-04","failed","2025-12-04","Crud.Crud","Consul","",""
"","8","Test Read Data","Tests","2025-12-04","failed","2025-12-04","Crud.Crud","Consul","",""
"","8","Test Update Data","Tests","2025-12-04","failed","2025-12-04","Crud.Crud","Consul","",""
"","64","Test Read Data Under Path","Tests","2025-12-04","failed","2025-12-04","Crud.Crud","Consul","",""
"","1037","Test Update Data Under Path","Tests","2025-12-04","failed","2025-12-04","Crud.Crud","Consul","",""
